Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
28/06/2024,516.11,524.67,512.94,515.71,42664881,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
28/06/2024,516.11,524.67,512.94,515.71,42664881,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
27/06/2024,518.06,523.91,513.89,523.74,30990800,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
27/06/2024,518.06,523.91,513.89,523.74,30990800,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
26/06/2024,520.34,524.35,513.42,521.19,30719382,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
26/06/2024,520.34,524.35,513.42,521.19,30719382,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
25/06/2024,518.45,523.71,508.35,523.71,26934715,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
25/06/2024,518.45,523.71,508.35,523.71,26934715,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
24/06/2024,530.01,539.33,514.42,520.27,76649086,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
24/06/2024,530.01,539.33,514.42,520.27,76649086,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
21/06/2024,538.07,541.22,535.69,537.05,35801397,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
21/06/2024,538.07,541.22,535.69,537.05,35801397,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
20/06/2024,539.02,543.14,532.98,538.46,42444705,"25,450.00",0.17,"2,727,565.00",2.850,"39,134.76","18,335.32","2,369.0",82.17
20/06/2024,539.02,543.14,532.98,538.46,42444705,"25,450.00",0.17,"2,727,565.00",2.850,"39,134.76","18,335.32","2,369.0",82.17
19/06/2024,541.67,543.93,536.43,539.81,36904555,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
19/06/2024,541.67,543.93,536.43,539.81,36904555,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
18/06/2024,531.18,543.55,531.18,541.90,31276672,"25,445.00",0.17,"2,727,565.00",2.907,"38,834.86","17,915.55","2,346.9",81.57
18/06/2024,531.18,543.55,531.18,541.90,31276672,"25,445.00",0.17,"2,727,565.00",2.907,"38,834.86","17,915.55","2,346.9",81.57
17/06/2024,540.46,545.64,536.47,538.22,45625628,"25,450.00",0.17,"2,727,565.00",2.903,"38,778.10","17,936.12","2,329.0",80.33
17/06/2024,540.46,545.64,536.47,538.22,45625628,"25,450.00",0.17,"2,727,565.00",2.903,"38,778.10","17,936.12","2,329.0",80.33
14/06/2024,555.99,559.28,540.53,540.53,65754099,"25,450.00",0.17,"2,727,565.00",2.901,"38,589.16","17,941.78","2,349.1",78.45
14/06/2024,555.99,559.28,540.53,540.53,65754099,"25,450.00",0.17,"2,727,565.00",2.901,"38,589.16","17,941.78","2,349.1",78.45
13/06/2024,547.26,558.46,546.99,555.98,48596084,"25,435.00",0.17,"2,727,565.00",2.907,"38,647.10","18,112.63","2,318.0",78.62
13/06/2024,547.26,558.46,546.99,555.98,48596084,"25,435.00",0.17,"2,727,565.00",2.907,"38,647.10","18,112.63","2,318.0",78.62
12/06/2024,543.83,554.65,542.21,554.65,49733777,"25,435.00",0.17,"2,727,565.00",2.932,"38,712.21","17,937.84","2,354.8",78.50
12/06/2024,543.83,554.65,542.21,554.65,49733777,"25,435.00",0.17,"2,727,565.00",2.932,"38,712.21","17,937.84","2,354.8",78.50
11/06/2024,545.72,550.49,540.98,548.52,59230876,"25,435.00",0.17,"2,727,565.00",2.939,"38,747.42","18,176.34","2,326.6",77.90
11/06/2024,545.72,550.49,540.98,548.52,59230876,"25,435.00",0.17,"2,727,565.00",2.939,"38,747.42","18,176.34","2,326.6",77.90
10/06/2024,538.80,548.87,537.30,545.72,53433866,"25,415.00",0.17,"2,727,565.00",2.929,"38,868.04","22,858.10","2,327.0",77.74
10/06/2024,538.80,548.87,537.30,545.72,53433866,"25,415.00",0.17,"2,727,565.00",2.929,"38,868.04","22,858.10","2,327.0",77.74
07/06/2024,540.72,545.89,540.72,543.32,36001858,"25,400.00",0.17,"2,727,565.00",2.908,"38,798.99","18,366.95","2,325.0",75.53
07/06/2024,540.72,545.89,540.72,543.32,36001858,"25,400.00",0.17,"2,727,565.00",2.908,"38,798.99","18,366.95","2,325.0",75.53
06/06/2024,539.47,545.69,537.67,540.72,36312939,"25,420.00",0.17,"2,727,565.00",2.916,"38,886.17","18,476.80","2,390.9",75.55
06/06/2024,539.47,545.69,537.67,540.72,36312939,"25,420.00",0.17,"2,727,565.00",2.916,"38,886.17","18,476.80","2,390.9",75.55
05/06/2024,541.72,547.51,540.93,541.59,52097950,"25,415.00",0.17,"2,727,565.00",2.914,"38,807.33","18,424.96","2,375.5",74.07
