Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
28/06/2024,98.52,98.72,96.80,97.54,82028120,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
28/06/2024,98.52,98.72,96.80,97.54,82028120,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
27/06/2024,98.90,99.07,98.14,98.53,43450153,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
27/06/2024,98.90,99.07,98.14,98.53,43450153,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
26/06/2024,98.81,99.01,98.10,98.90,52015646,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
26/06/2024,98.81,99.01,98.10,98.90,52015646,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
25/06/2024,99.06,99.28,98.29,98.83,57362591,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
25/06/2024,99.06,99.28,98.29,98.83,57362591,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
24/06/2024,100.58,101.25,98.69,99.06,98864811,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
24/06/2024,100.58,101.25,98.69,99.06,98864811,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
21/06/2024,99.28,100.59,99.28,100.58,114516620,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
21/06/2024,99.28,100.59,99.28,100.58,114516620,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
20/06/2024,98.38,99.27,98.21,99.27,63225144,"25,450.00",0.17,"2,727,565.00",2.850,"39,134.76","18,335.32","2,369.0",82.17
20/06/2024,98.38,99.27,98.21,99.27,63225144,"25,450.00",0.17,"2,727,565.00",2.850,"39,134.76","18,335.32","2,369.0",82.17
19/06/2024,98.31,98.46,97.61,98.36,55771774,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
19/06/2024,98.31,98.46,97.61,98.36,55771774,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
