Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
28/06/2024,"1,289.31","1,290.97","1,272.27","1,278.32",234238197,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
28/06/2024,"1,289.31","1,290.97","1,272.27","1,278.32",234238197,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
27/06/2024,"1,288.88","1,290.80","1,282.24","1,289.03",170188698,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
27/06/2024,"1,288.88","1,290.80","1,282.24","1,289.03",170188698,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
26/06/2024,"1,291.04","1,294.12","1,276.44","1,291.30",206768835,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
26/06/2024,"1,291.04","1,294.12","1,276.44","1,291.30",206768835,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
25/06/2024,"1,290.12","1,293.28","1,281.89","1,288.80",203047565,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
25/06/2024,"1,290.12","1,293.28","1,281.89","1,288.80",203047565,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
24/06/2024,"1,317.31","1,319.51","1,287.26","1,289.85",364007809,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
24/06/2024,"1,317.31","1,319.51","1,287.26","1,289.85",364007809,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
21/06/2024,"1,323.77","1,324.81","1,316.07","1,319.93",227840302,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
21/06/2024,"1,323.77","1,324.81","1,316.07","1,319.93",227840302,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
20/06/2024,"1,316.78","1,326.88","1,311.43","1,322.36",309960560,"25,450.00",0.17,"2,727,565.00",2.850,"39,134.76","18,335.32","2,369.0",82.17
20/06/2024,"1,316.78","1,326.88","1,311.43","1,322.36",309960560,"25,450.00",0.17,"2,727,565.00",2.850,"39,134.76","18,335.32","2,369.0",82.17
19/06/2024,"1,313.51","1,319.31","1,300.67","1,314.22",265123277,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
19/06/2024,"1,313.51","1,319.31","1,300.67","1,314.22",265123277,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
18/06/2024,"1,314.39","1,320.80","1,309.89","1,309.89",226095617,"25,445.00",0.17,"2,727,565.00",2.907,"38,834.86","17,915.55","2,346.9",81.57
18/06/2024,"1,314.39","1,320.80","1,309.89","1,309.89",226095617,"25,445.00",0.17,"2,727,565.00",2.907,"38,834.86","17,915.55","2,346.9",81.57
17/06/2024,"1,317.64","1,318.16","1,305.50","1,309.70",256244289,"25,450.00",0.17,"2,727,565.00",2.903,"38,778.10","17,936.12","2,329.0",80.33
17/06/2024,"1,317.64","1,318.16","1,305.50","1,309.70",256244289,"25,450.00",0.17,"2,727,565.00",2.903,"38,778.10","17,936.12","2,329.0",80.33
14/06/2024,"1,336.35","1,338.59","1,316.46","1,316.46",313325426,"25,450.00",0.17,"2,727,565.00",2.901,"38,589.16","17,941.78","2,349.1",78.45
14/06/2024,"1,336.35","1,338.59","1,316.46","1,316.46",313325426,"25,450.00",0.17,"2,727,565.00",2.901,"38,589.16","17,941.78","2,349.1",78.45
13/06/2024,"1,331.91","1,339.17","1,327.79","1,333.85",356920322,"25,435.00",0.17,"2,727,565.00",2.907,"38,647.10","18,112.63","2,318.0",78.62
13/06/2024,"1,331.91","1,339.17","1,327.79","1,333.85",356920322,"25,435.00",0.17,"2,727,565.00",2.907,"38,647.10","18,112.63","2,318.0",78.62
12/06/2024,"1,308.89","1,331.81","1,305.27","1,331.81",297153491,"25,435.00",0.17,"2,727,565.00",2.932,"38,712.21","17,937.84","2,354.8",78.50
12/06/2024,"1,308.89","1,331.81","1,305.27","1,331.81",297153491,"25,435.00",0.17,"2,727,565.00",2.932,"38,712.21","17,937.84","2,354.8",78.50
11/06/2024,"1,315.48","1,318.09","1,301.43","1,308.30",277035267,"25,435.00",0.17,"2,727,565.00",2.939,"38,747.42","18,176.34","2,326.6",77.90
11/06/2024,"1,315.48","1,318.09","1,301.43","1,308.30",277035267,"25,435.00",0.17,"2,727,565.00",2.939,"38,747.42","18,176.34","2,326.6",77.90
10/06/2024,"1,314.28","1,319.06","1,306.53","1,311.10",223824060,"25,415.00",0.17,"2,727,565.00",2.929,"38,868.04","22,858.10","2,327.0",77.74
