Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
28/06/2024,"1,260.27","1,262.61","1,240.15","1,245.32",635711241,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
28/06/2024,"1,260.27","1,262.61","1,240.15","1,245.32",635711241,"25,445.00",0.17,"2,727,565.00",2.885,"39,118.86","17,718.61","2,350.9",81.54
27/06/2024,"1,260.71","1,262.49","1,255.12","1,259.09",446001676,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
27/06/2024,"1,260.71","1,262.49","1,255.12","1,259.09",446001676,"25,455.00",0.17,"2,727,565.00",2.889,"39,164.06","17,716.47","2,348.7",81.74
26/06/2024,"1,258.95","1,262.67","1,247.55","1,261.24",555550983,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
26/06/2024,"1,258.95","1,262.67","1,247.55","1,261.24",555550983,"25,465.00",0.17,"2,727,565.00",2.899,"39,127.80","18,089.93","2,313.2",80.90
25/06/2024,"1,255.77","1,260.07","1,250.25","1,256.56",520938884,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
25/06/2024,"1,255.77","1,260.07","1,250.25","1,256.56",520938884,"25,455.00",0.17,"2,727,565.00",2.878,"39,112.16","18,072.90","2,330.8",80.83
24/06/2024,"1,281.19","1,284.84","1,252.66","1,254.12",1040386525,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
24/06/2024,"1,281.19","1,284.84","1,252.66","1,254.12",1040386525,"25,455.00",0.17,"2,727,565.00",2.880,"39,411.21","18,027.71","2,344.4",81.63
21/06/2024,"1,285.07","1,288.06","1,279.44","1,282.02",669695755,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
21/06/2024,"1,285.07","1,288.06","1,279.44","1,282.02",669695755,"25,450.00",0.17,"2,727,565.00",2.863,"39,150.33","18,028.52","2,331.2",80.73
20/06/2024,"1,281.82","1,286.54","1,273.54","1,282.30",773355093,"25,450.00",0.17,"2,727,565.00",2.850,"39,134.76","18,335.32","2,369.0",82.17
